name,date,event,role,fee
Marilyn Maki,2014-05-08,Villa Rosa Mother's Day Luncheon,Host,Unpaid
Matt Galloway,2014-05-08,Toronto Region Immigrant Employment Council 10th Anniversary & Immigrant Success Awards,Host,Unpaid
Evan Solomon,2014-05-08,Spur Festival Ottawa,Speech,Unpaid
Wendy Bergfeldt,2014-05-08,Cape Breton Library Songwriters’ Expo,Host,Unpaid
Terry Seguin,2014-05-08,Ducks Unlimited Fundraiser,Host,Unpaid
Trevor Dineen,2014-05-08,BS Comedy Players,Host,Unpaid
Adam Carter,2014-05-07,Gordon Lightfoot Concert,Host,Unpaid
Amanda Lang,2014-05-07,Canadian Restaurant Investment Summit,Moderator,Paid
Christy Climenhaga,2014-05-07,Read-a-thon at Weledeh School,Speech,Unpaid
Elizabeth McMillan,2014-05-07,Read-a-thon at Weledeh School,Speech,Unpaid
Hilary Bord,2014-05-07,Read-a-thon at Weledeh School,Speech,Unpaid
Dianne Buckner,2014-05-07,TEC Edmonton Venture Prize Dinner and Awards,Speech,Paid
Mark Kelley,2014-05-07,ECS School Montreal,Speech,Unpaid
Matt Galloway,2014-05-07,Food on Film - TIFF Series (3 of 6),Host,Unpaid
Amanda Lang,2014-05-06,Canadian Hotel Investment Conference,Moderator,Paid
Sue Smith,2014-05-06,17th Annual Sandra Goldberg Lecture,Host,Unpaid
Mark Kelley,2014-05-06,Ontario Waterworks Association Town Hall Forum,Moderator,Paid
Amanda Lang,2014-05-06,BASF Canada,Speech,Unpaid
Bruce Rainnie,2014-05-05,"Music Monday, Coalition for Music Education",Host,Unpaid
Johanna Wagstaffe,2014-05-05,David Suzuki Foundation 30x30 Challenge,Lecture,Unpaid
Lucy van Oldenbarneveld,2014-05-05,"Music Monday, Coalition for Music Education",Host,Unpaid
Anthony Germain,2014-05-04,Kids Help Phone Walk,Host,Unpaid
Terry Seguin,2014-05-04,Gordon Lightfoot concert,Host,Unpaid
Frank Cavallaro,2014-05-04,Miriam Foundation Gala,Host,Unpaid
Harry Forestell,2014-05-03,Gordon Lightfoot concert,Host,Unpaid
Debra Arbec,2014-05-03,Pharmaprix Run for Women,Host,Unpaid
Wendy Bergfeldt,2014-05-03,The Sydney Horizon Achievement Centre Fundraiser,Host,Unpaid
Jill Morgan,2014-05-03,Regina Symphony Orchestra Shumiatcher Pops Concert,Host,Unpaid
Rosemary Barton,2014-05-03,National Press Gallery Dinner,Host,Unpaid
Duncan McCue,2014-05-02,BC Library Association,Speech,Paid
Jonna Brewer,2014-05-02,Gordon Lightfoot concert,Host,Unpaid
Lucy van Oldenbarneveld,2014-05-02,International Talent Acquisition Centre 5th Annual Appreciation Gala,Host,Unpaid
Adrian Harewood,2014-05-01,Jane's Talk Ottawa,Host,Unpaid
Craig Norris,2014-05-01,Canada Film Days,Host,Unpaid
Dwight Drummond,2014-05-01,Career Day - Duke of Connaught Public School,Speech,Unpaid
Hallie Cotnam,2014-05-01,African Harvest Farm Radio International fundraiser,Host,Unpaid
Kim Trynacity,2014-05-01,Cerebral Palsy Association Media Night,Speech,Unpaid
David Gray,2014-05-01,University of Calgary Food Symposium,Host,Unpaid
Wendy Mesley,2014-05-01,Brampton Outstanding Business Achievement Awards,Speech,Paid
Katy Parsons,2014-05-01,Blue Nose Marathon,Blogging,Expenses
Dave Brown,2014-05-01,Jane's Walk,Host,Unpaid
Laurence Wall,2014-04-30,Kiwanis Music Festival,Host,Unpaid
Peter Mansbridge,2014-04-30,Halifax Chamber of Commerce Spring Dinner,Speech,Paid
Wendy Mesley,2014-04-29,Workplace Safety and Prevention Services Conference,Moderator,Paid
Miyoung Lee,2014-04-29,National Canadian Film Day,Host,Unpaid
Craig Norris,2014-04-29,Waterloo County English Awards,Host,Unpaid
Adrian Harewood,2014-04-29,Ottawa Writers Festival,Moderator,Unpaid
Sonali Karnick,2014-04-29,Reel Canada,Host,Unpaid
Debra Arbec,2014-04-29,Reel Canada,Host,Unpaid
Waub Rice,2014-04-28,6th annual Indigenous Graduate Honouring Ceremony at Algonquin College,Host,Unpaid
Heather Hiscox,2014-04-28,Canadian Tourism Commission Rendez Vous Canada,Host,Unpaid
Heather Hiscox,2014-04-28,Canadian Tourism Commission Rendez Vous Canada,Host,Paid
Sandra Abma,2014-04-28,Ottawa Writers Festival,Moderator,Unpaid
Natalie Clancy,2014-04-27,Row4Autism Fundraiser,Host,Unpaid
Craig Norris,2014-04-27,Guelph Jazz Festival Art Auction,Host,Unpaid
Evan Soloman,2014-04-27,Ottawa Muslim Women’s Organization 13th Annual Festival of Friendship Dinner - Fundraiser,Speech,Unpaid
Adrian Harewood,2014-04-27,Ottawa Muslim Women’s Organization 13th Annual Festival of Friendship Dinner - Fundraiser,Host,Unpaid
Sandra Abma,2014-04-27,Ottawa Writers Festival,Moderator,Unpaid
Adrian Harewood,2014-04-26,The National Youth Orchestra of Jamaica Canadian Tour benefit concert,Host,Unpaid
Laurence Wall,2014-04-26,Ottawa Writers Festival,Moderator,Unpaid
Rick Cluff,2014-04-26,Sechelt Habitat for Humanity,Host,Unpaid
David Gray,2014-04-25,Canadian Centre for Male Survivors of Child Sexual Abuse Fundrasier,Host,Unpaid
Nil Köksal,2014-04-25,9th Annual Women Against MS Gala Lunch,Host,Unpaid
Miyoung Lee,2014-04-25,RBC Top 25 Canadian Immigrant Awards,Host,Unpaid
Dwight Drummond,2014-04-25,Bond Affair fundraiser for Literature for Life,Host,Unpaid
Peter Mansbridge,2014-04-25,Canadian Centre for Male Survivors of Child Sexual Abuse Fundrasier,Speech,Unpaid
Adrian Harewood,2014-04-24,Don't Quit your Day Job Fundraiser,Host,Unpaid
Heather Hiscox,2014-04-24,Canadian Medical Hall of Fame 20th Anniversary Gala,Host,Paid
Adrian Harewood,2014-04-24,Don't Quit your Day Job Fundraiser,Host,Unpaid
Heather Hiscox,2014-04-24,Canadian Medical Hall of Fame 20th Anniversary Gala,Host,Paid
